left_input,right_input,time,delta_time
5.437466,5.881340,1304304727.694542,0.060485
5.819638,5.819638,1304304727.745040,0.050498
6.272290,6.160285,1304304727.795543,0.050503
6.142383,5.926861,1304304727.856124,0.060581
7.394619,6.722380,1304304727.916492,0.060367
6.966652,6.629556,1304304727.966832,0.050341
6.889596,6.222861,1304304728.027256,0.060424
6.839214,6.418339,1304304728.088076,0.060820
7.040825,6.482030,1304304728.138497,0.050421
6.930045,6.371171,1304304728.198982,0.060485
6.764375,6.313416,1304304728.249493,0.050511
6.477011,6.588684,1304304728.310142,0.060648
6.341995,6.008205,1304304728.370631,0.060489
5.994408,6.107510,1304304728.421077,0.050447
5.830001,5.724001,1304304728.481519,0.060441
6.514303,5.840409,1304304728.541996,0.060477
5.933412,5.597558,1304304728.592402,0.050407
5.679752,5.570526,1304304728.652889,0.060486
5.447377,5.635217,1304304728.723281,0.070393
6.066656,5.392583,1304304728.773749,0.050468
5.603348,5.379214,1304304728.834347,0.060597
5.549938,5.445222,1304304728.894944,0.060598
5.490589,5.378536,1304304728.945238,0.050294
5.507812,5.620216,1304304729.005897,0.060658
5.448402,5.337210,1304304729.056396,0.050500
5.282517,5.394911,1304304729.116927,0.060531
5.383721,5.495882,1304304729.167409,0.050482
5.400985,5.288464,1304304729.227808,0.060398
5.185281,5.608569,1304304729.288394,0.060587
5.730787,5.613832,1304304729.338815,0.050421
5.196816,5.427785,1304304729.399355,0.060540
5.283372,5.518189,1304304729.449826,0.050470
5.724149,5.599711,1304304729.500072,0.050247
5.518991,5.631623,1304304729.550550,0.050478
5.273129,5.492843,1304304729.611138,0.060588
5.684715,5.457326,1304304729.661669,0.050530
5.661214,5.547990,1304304729.722103,0.060435
5.280261,5.390266,1304304729.782635,0.060532
6.041454,5.804534,1304304729.833096,0.050460
5.577060,5.460872,1304304729.883510,0.050415
5.399185,5.509373,1304304729.944078,0.060568
5.731347,5.956106,1304304729.994559,0.050480
5.714518,5.826567,1304304730.055024,0.060466
5.805695,5.805695,1304304730.105437,0.050412
5.617737,5.727888,1304304730.166013,0.060576
5.643046,5.753694,1304304730.216490,0.050477
5.989498,5.989498,1304304730.277118,0.060629
5.608173,6.056827,1304304730.327621,0.050503
5.340951,5.969298,1304304730.388069,0.060448
6.097243,5.871419,1304304730.448743,0.060674
